Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Can I run Folding@home on a machine I don’t own?	Please only run Folding@home on machines you either own or on which you have the permission of the owner to run our software. If there is any doubt (eg you want to run on computers at work), we suggest you get written approval (eg get your superior to sign a letter giving authorization); we have found that written documentation of this sort is important if there is ever any dispute of whether permission was indeed granted. Please do not assume that permission is granted by the owner. Any other use of Folding@home violates our end user license agreement (EULA), and just isn’t a good idea in general.	https://foldingathome.org/support/faq/project-details/		[]	false	[]	1
What are the minimum system requirements?	All computers can contribute to Folding@home. However, if the computer is too slow (e.g. wasn’t built in the last 5 years or so), the computer might not be fast enough to make the deadlines of typical work units. A Pentium 4 or newer equivalent computer (with SSE) is able to complete work units before they expire.\n\nFolding part time (less than 24 hours a day) will increase the minimum system requirements to make the deadlines.  In this case, it is up to the donor to determine how many hours a day are required to fold and still meet the deadlines with each computer.	https://foldingathome.org/support/faq/project-details/		[]	false	[]	2
What happens if there is a suspected license (EULA) violation?	We will attempt to contact the donor if there is some suspicion of a EULA violation. Many donors use their email as their donor name and this is helpful. If do not have any information on hand and we have been presented with a sufficiently strong case that there was a EULA violation, we will zero the points of the donor and not allow clients to run under the name of that donor. This decision can be reversed if there is sufficient information to exonerate the donor. The donor should contact one of the Pande Group members or Forum Moderators at [our forum](http://foldingforum.org/) to get in touch with us in such a situation.	https://foldingathome.org/support/faq/project-details/		[]	false	[]	3
What has been “folded” so far, and how much have I folded?	We’ve simulated a wide variety of proteins and other molecules. We divide the simulations into packets called “Work Units,” (WUs) each of which is sent to a computer for processing. We then assemble all the WUs from a project into a completed simulation. We keep many types of statistics of users and work accomplished in our Stats section. You can check your [Individual stats](https://stats.foldingathome.org/donors), [Team stats](https://stats.foldingathome.org/teams), and overall [Project stats](https://stats.foldingathome.org/os). Please also review the Results and Awards sections.	https://foldingathome.org/support/faq/project-details/		[]	false	[]	4
What has the project completed so far?	We have been able to fold several proteins into the 1.5 millisecond time range with experimental validation of our folding kinetics. This is a timescale a thousand times longer than any previous atomic-level simulation, and represents a fundamental advance over previous work. We are now simulating important proteins used in structural biology studies of folding as well as proteins involved in disease. We’ve been able to perform detailed simulations of many of these proteins at biologically-relevant timescales, giving us insights that had previously been unobtainable. We’ve also identified several potential drug candidates which may be able to fight Alzheimer’s, cancer, and infection by viruses. Peer-reviewed scientific papers detailing our results are posted on our Results page, and many of them are published in top journals such as Science, Nature, PNAS, and JMB. These publications are highly detailed and often technical, but summaries of their findings can be found on Results page as well as the [Folding@home article on Wikipedia](http://en.wikipedia.org/wiki/Folding@home).	https://foldingathome.org/support/faq/project-details/		[]	false	[]	5
What is distributed computing?	[Distributed Computing](http://en.wikipedia.org/wiki/Distributed_computing) is a method of computer processing in which different parts of a program, or different portions of data, are processing simultaneously on two or more computers. We are able to use this approach to significantly accelerate our research. Folding@home is one of the largest, most powerful, and most widely distributed computing networks.	https://foldingathome.org/support/faq/project-details/		[]	false	[]	6
What is Folding@home? What is protein folding?	Folding@home is a distributed computing project, that very simply stated, studies protein folding and misfolding. Protein folding is explained in more detail in the scientific background section. It also helps us develop drugs to combat disease.	https://foldingathome.org/support/faq/project-details/		[]	false	[]	7
Who “owns” the results? What will happen to them?	Folding@home is run by an academic institution (specifically the Pande Group, at [Stanford University](https://foldingathome.org/)’s [Chemistry Department](http://chemistry.stanford.edu/)), which is a nonprofit institution dedicated to science research and education. We will not sell the data or make any money from it. Moreover, we will make the data available for others to use. In particular, the results from Folding@home will be made available on several levels. Most importantly, analysis of the simulations will be submitted to scientific journals for publication, and these journal articles will be posted on the web page after publication.\n\nFollowing the publications of these scientific articles, we will make the raw data of the folding runs available to other researchers upon request. The data sets from some of our most prominent simulations are already publicly available. We’ve also striven to share our key technologies with other scientists, to assist their research as well.	https://foldingathome.org/support/faq/project-details/		[]	false	[]	8
Why don’t you post the source code?	Most of the critical parts of FAH are publicly available. The Tinker and Gromacs source codes can be downloaded and run. Unlike many computer projects, the paramount concern is not functionality, but the scientific integrity, and posting the source code in a way that would allow people to reverse engineer the code to produce bogus scientific results would make the whole project pointless. However, we stress that the vast majority of our code is already open source. We have an Open Source FAQ with more details.	https://foldingathome.org/support/faq/project-details/		[]	false	[]	9
Why not just use a supercomputer?	Modern supercomputers are essentially clusters of hundreds of processors linked by fast networking. The speed of these processors is comparable to (and often slower than) those found in PCs! Supercomputers are not only very expensive to operate, but they are often simultaneously shared by many different research groups, and it is a challenge to scale a molecular simulation to all of their processors. Protein folding dynamics is statistical in nature, so a single long simulation from a supercomputer would not be sufficient to fully understand the folding process. Folding@home is one of the most powerful computing systems on the planet, and we use novel methods to utilize its network to statistically analyse the dynamics of protein folding. Hence, the calculations performed on Folding@home would not be possible by any other means! This is possible since PC processors are now very fast and there are hundreds of millions of PCs sitting idle in the world.	https://foldingathome.org/support/faq/project-details/		[]	false	[]	10
WHAT IS FOLDING@HOME?	"Folding@home (FAH or F@h) is a distributed computing project for simulating protein dynamics, including the process of protein folding and the movements of proteins implicated in a variety of diseases. It brings together citizen scientists who volunteer to run simulations of protein dynamics on their personal computers. Insights from this data are helping scientists to better understand biology and providing new opportunities for developing therapeutics." [FAH team website](https://foldingathome.org/about/)The [FAH GitHub repo](https://github.com/FoldingAtHome/coronavirus) had additional details about its implementation for the COVID-19.	FOLDING@HOME Challenge FAQ.docx		[]	false	[]	11
WHAT IS THE FOLDING@HOME CHALLENGE?	The US OCP Tech Team is sponsoring an internal Folding@Home challenge for the month of May as part of the Microsoft GIVE Together campaign. An external campaign is also being planned for the MSUS Partners [link to external campaign FAQ will be added in the meantime reach out to [US OCP Folding at Home Challenge](mailto:ocpfoldingathome@microsoft.com?subject=Internal%20Folding@Home%20Challenge%20Inquiry) ]	FOLDING@HOME Challenge FAQ.docx		[]	false	[]	12
HOW DO I PARTICIPATE ON THE CHALLENGE?	Any member of the US OCP Tech team can participate on the challenge. You can participate in two ways.\n\nRun the Folding@Home software, an app that runs in the background running protein simulations, as work units are completed you will accumulate points.\n\nAnd/or\nContribute to the [FOLDING@HOME Team 999 - Microsoft fight on COVID-19](https://github.com/likamrat/foldingathome) GitHub repo.	FOLDING@HOME Challenge FAQ.docx		[]	false	[]	13
HOW DO I FOLD@HOME AS PART OF THE CHALLENGE?	Install the software from Fold@Home’s page [here](https://foldingathome.org/support/faq/installation-guides/) or follow Lior’s easy setup guides [here](https://foldingathome.org/support/faq/installation-guides/) .[Create an identify](https://foldingathome.org/support/faq/stats-teams-usernames/) and [register with your manager’s team code](https://foldingathome.org/support/faq/stats-teams-usernames/) .\n\nCarlos McKinley  264462\n\nHarsha Bennur    264464\n\nJeff Graves           264465\n\nJeff Lear               264466\n\nJosh Condie         264467\n\nLj Marinello         264468\n\nBeth Humphreys  264469\n\nBrian Moore         264470\n\nJim Prussack         264471\n\nJustin Henriksen   264472\n\nRoss McKee           264473\n\nScott Fuller            264474\n\nTim Maund            264475	FOLDING@HOME Challenge FAQ.docx		[]	false	[]	14
HOW ARE WINNERS SELECTED?	Top Folders will be selected by amount of credit points earned. For both the individual and team prizes. Visit [Folding@Home Points FAQ](https://foldingathome.org/support/faq/points/) for details on how the software calculates credit points.Top Contributors will be selected by Github contributions to the [FOLDING@HOME Team 999 - Microsoft fight on COVID-19](https://github.com/likamrat/foldingathome) repo.\n\nTracking of metrics will start on May 1st and end on May 28th.	FOLDING@HOME Challenge FAQ.docx		[]	false	[]	15
WHAT ARE THE PRIZES?	We are finalizing details and will update the prizes as soon as possible.	FOLDING@HOME Challenge FAQ.docx		[]	false	[]	16
CAN I MATCH MY TIME FOR THE GIVE CAMPAIGN?	Time can be matched against [Folding@Home’s project](https://microsoft.benevity.org/cause/840-430653611/project/3X4AGHLQE7) on the Give Portal. Remember to track your time before the GIVE Together Campaign ends on May 31st at 11:59pm PT to take advantage of the additional 10K matching credit.\n\nAll time spend actively volunteering is match eligible. For this challenge, the time spend contributing to the GitHub repo, learning the software, installing, and configuring the software, as well as any time spent improving its performance on your machine is match eligible. However, the time when you were inactive, such as time spend sleeping while your computer folds overnight is not match eligible.	FOLDING@HOME Challenge FAQ.docx		[]	false	[]	17
HOW CAN I CONTRIBUTE TO THE GITHUB REPO?	You can contribute in any way you believe will be meaningful. We have gotten you started with some ideas [here](https://github.com/likamrat/foldingathome/issues?q=is%3Aopen+is%3Aissue+label%3Agive) that you can start contributing to. If you have your own ideas create feel to document them as additional tasks in the repo.	FOLDING@HOME Challenge FAQ.docx		[]	false	[]	18
